,Week,Origin State,Origin District,Destination District,Population,theta_S(t),theta_C(t),theta_I(t),theta_A(t),theta_R(t),theta_D(t),D_k^Tr(t),D_k^Ro(t),D_k^To(t)
150,25,ANDHRA PRADESH,EAST GODAVARI,ANUGUL,5154296,999399.336,600.6639898,120.132798,480.5311918,340.4926686,6.790452081,0,0.58203875,582038.7498
151,25,TAMIL NADU,CHENNAI,ANUGUL,4328063,940099.0697,59900.93028,11980.18606,47920.74422,32470.64564,793.4265282,0,0.231050241,231050.2412
152,25,TELANGANA,MEDCHAL MALKAJGIRI,ANUGUL,2440073,0,0,0,0,0,0,0,1.639295218,1639295.218
153,25,WEST BENGAL,MEDINIPUR WEST,ANUGUL,5913457,999622.2176,377.7824038,75.55648075,302.225923,240.1302656,2.705693133,0,3.382116417,3382116.417
154,25,MAHARASHTRA,PUNE,ANUGUL,2935744,966472.5535,33527.44653,6705.489307,26821.95723,18575.52975,1396.579538,5.790695646,0.340629156,340634.9464
155,25,WEST BENGAL,HOWRAH,ANUGUL,4842000,997219.7439,2780.256093,556.0512185,2224.204874,1796.571665,98.92606361,0,0.206526229,206526.2288
156,25,WEST BENGAL,MURSHIDABAD,ANUGUL,7103807,999821.2226,178.7773795,35.7554759,143.0219036,129.3672534,2.956161393,0,5.490014016,5490014.016
157,25,ANDHRA PRADESH,KRISHNA,ANUGUL,4517398,998632.1772,1367.822804,273.5645608,1094.258243,640.1915439,46.48693783,0,0.885465483,885465.4826
158,25,GUJARAT,AMRELI,ANUGUL,1514190,999834.8952,165.1047755,33.0209551,132.0838204,52.83352816,18.49173485,0,2.641676408,2641676.408
159,25,TAMIL NADU,COIMBATORE,ANUGUL,959823,998408.0398,1591.960184,318.3920369,1273.568147,1153.337647,7.293011316,0,3.125576278,3125576.278
160,25,TAMIL NADU,THIRUVALLUR,ANUGUL,3728104,995896.5737,4103.426299,820.6852599,3282.741039,2006.113563,60.08416074,0,1.341164302,1341164.302
161,25,KARNATAKA,BENGALURU URBAN,ANUGUL,9621551,999324.6411,675.3588896,135.0717779,540.2871117,274.4879698,36.1688048,0,0.623600083,623600.0828
162,25,TAMIL NADU,KANCHIPURAM,ANUGUL,155029,957311.2127,42688.78726,8537.757452,34151.02981,22370.00819,419.2763934,0,6.450406053,6450406.053
163,26,OTHER,OTHER,ANUGUL,732071000,998225.0028,1774.997234,354.9994468,1419.997787,1147.570386,43.65423572,0,0.024587779,24587.77905
164,26,MAHARASHTRA,OTHER,ANUGUL,102131474,998658.6407,1341.359276,268.2718552,1073.087421,808.7125033,67.9810026,0,0.019582602,19582.60193
165,26,TAMIL NADU,CHENNAI,ANUGUL,4328063,922466.0085,77533.99153,15506.79831,62027.19323,44964.68744,1137.691388,0,0.231050241,231050.2412
166,26,WEST BENGAL,24 PARAGANAS NORTH,ANUGUL,10009781,998367.7965,1632.203542,326.4407083,1305.762833,996.4253963,64.73668105,0,0.399609142,399609.1423
167,26,WEST BENGAL,HOWRAH,ANUGUL,4842000,996645.601,3354.399009,670.8798017,2683.519207,2343.040066,124.1222635,0,5.36968195,5369681.95
168,26,WEST BENGAL,OTHER,ANUGUL,59309688,999399.0695,600.9304922,120.1860984,480.7443937,409.4609299,7.70531789,0,0.37093434,370934.3404
169,26,WEST BENGAL,MEDINIPUR EAST,ANUGUL,5095875,999598.8913,401.1087399,80.22174798,320.8869919,274.3395393,5.29840312,0,23.94093262,23940932.62
170,26,ANDHRA PRADESH,VISAKHAPATANAM,ANUGUL,1063178,0,0,0,0,0,0,0,7.524610178,7524610.178
171,26,ANDHRA PRADESH,OTHER,ANUGUL,34078373,998500.4272,1499.572764,299.9145528,1199.658211,694.105907,12.99944689,0,0.117376496,117376.4956
172,26,WEST BENGAL,MEDINIPUR WEST,ANUGUL,5913457,999586.8745,413.1255203,82.62510406,330.5004163,354.2766947,4.227645521,0,0.845529104,845529.1042
173,26,WEST BENGAL,MURSHIDABAD,ANUGUL,7103807,999789.5495,210.4505373,42.09010746,168.3604298,162.8704158,3.096930984,0,2.956161393,2956161.393
174,27,WEST BENGAL,OTHER,ANUGUL,59309688,999248.2341,751.7658835,150.3531767,601.4127068,532.6111309,9.863481325,0,0.067442607,67442.60735
175,27,WEST BENGAL,KOLKATA,ANUGUL,4631392,990285.2101,9714.789852,1942.95797,7771.831881,6073.983804,596.1490627,0,0.215917806,215917.8061
176,27,OTHER,OTHER,ANUGUL,732071000,997802.2337,2197.766337,439.5532674,1758.213069,1536.493045,51.56330465,0,0.03005173,30051.72996
177,27,WEST BENGAL,MEDINIPUR EAST,ANUGUL,5095875,999506.6598,493.3402016,98.66804033,394.6721613,356.5629063,5.887114578,0,3.532268747,3532268.747
178,27,TELANGANA,OTHER,ANUGUL,26240025,994880.4927,5119.507318,1023.901464,4095.605854,2456.628757,73.20877171,0,0.228658319,228658.3187
179,27,ANDHRA PRADESH,VISAKHAPATANAM,ANUGUL,1063178,0,0,0,0,0,0,0,15.04922036,15049220.36
180,27,WEST BENGAL,MURSHIDABAD,ANUGUL,7103807,999751.6824,248.3175571,49.66351141,198.6540456,191.5874122,3.941548525,0,1.266926311,1266926.311
181,27,KARNATAKA,BENGALURU URBAN,ANUGUL,9621551,995304.915,4695.085023,939.0170046,3756.068019,540.5573384,79.19721051,0,0.207866694,207866.6943
182,27,TAMIL NADU,OTHER,ANUGUL,65979190,996951.5085,3048.491502,609.6983003,2438.793201,1409.671747,27.56929874,0,0.015156294,15156.29398
183,27,TELANGANA,RANGA REDDY,ANUGUL,2446265,0,0,0,0,0,0,0,1.226359368,1226359.368
184,27,WEST BENGAL,MEDINIPUR WEST,ANUGUL,5913457,999545.4436,454.5564464,90.91128928,363.6451571,387.928753,6.256915371,0,0.507317463,507317.4625
185,28,TAMIL NADU,OTHER,ANUGUL,65979190,995512.191,4487.808959,897.5617918,3590.247167,2195.631683,45.99935222,0,0.015156294,15156.29398
186,28,WEST BENGAL,HOWRAH,ANUGUL,4842000,994848.2032,5151.796778,1030.359356,4121.437423,3567.121024,169.7645601,0,10.94589013,10945890.13
187,28,WEST BENGAL,MEDINIPUR WEST,ANUGUL,5913457,999476.6175,523.3825155,104.6765031,418.7060124,427.6686209,8.455291042,0,0.676423283,676423.2834
188,28,OTHER,OTHER,ANUGUL,732071000,997295.9576,2704.042367,540.8084735,2163.233894,1937.100363,59.59121451,0,0.009561914,9561.914077
189,28,MAHARASHTRA,OTHER,ANUGUL,102131474,997754.4141,2245.58592,449.117184,1796.468736,1285.294286,99.20546138,0,0.048956505,48956.50483
190,28,WEST BENGAL,OTHER,ANUGUL,59309688,999026.9381,973.0619389,194.6123878,778.4495511,686.4814396,12.94898061,0,0.236049126,236049.1257
191,28,ANDHRA PRADESH,SRIKAKULAM,ANUGUL,2703114,998530.9536,1469.046441,293.8092881,1175.237152,341.4580369,23.30645322,0,2.589605914,2589605.914
192,28,TELANGANA,OTHER,ANUGUL,26240025,991839.7944,8160.20564,1632.041128,6528.164512,4921.679762,88.30022075,0,0.07621944,76219.43958
193,28,ANDHRA PRADESH,KRISHNA,ANUGUL,4517398,996737.9452,3262.054838,652.4109676,2609.64387,1884.049181,114.4464136,0,0.664099112,664099.1119
194,28,WEST BENGAL,24 PARAGANAS NORTH,ANUGUL,10009781,996714.5135,3285.486466,657.0972931,2628.389173,1843.996387,104.0981816,0,0.099902286,99902.28557
195,28,TELANGANA,MEDCHAL MALKAJGIRI,ANUGUL,2440073,0,0,0,0,0,0,0,1.639295218,1639295.218
196,28,WEST BENGAL,MEDINIPUR EAST,ANUGUL,5095875,999351.8287,648.171315,129.634263,518.537052,446.0470479,9.615620477,0,0.392474305,392474.3052
197,28,ANDHRA PRADESH,EAST GODAVARI,ANUGUL,5154296,997091.3584,2908.641646,581.7283291,2326.913317,849.5825618,10.86472333,0,0.388025833,388025.8332
198,28,ANDHRA PRADESH,OTHER,ANUGUL,34078373,996970.5126,3029.487353,605.8974705,2423.589882,1654.040232,30.40051237,0,0.029344124,29344.12391
199,28,GUJARAT,OTHER,ANUGUL,56806534,998927.3241,1072.6759,214.5351801,858.1407202,677.2636401,32.95395561,0,0.035207218,35207.21754
200,29,ANDHRA PRADESH,SRIKAKULAM,ANUGUL,2703114,995426.386,4573.613987,914.7227975,3658.89119,1556.723098,42.54352573,0,1.109831106,1109831.106
201,29,ANDHRA PRADESH,VISAKHAPATANAM,ANUGUL,1063178,0,0,0,0,0,0,0,5.643457634,5643457.634
202,29,OTHER,OTHER,ANUGUL,732071000,996632.2693,3367.730726,673.5461451,2694.18458,2404.657472,68.05487446,0,0.005463951,5463.950901
203,29,WEST BENGAL,KOLKATA,ANUGUL,4631392,982492.9524,17507.04756,3501.409511,14005.63805,9798.997796,814.6578826,0,2.159178061,2159178.061
204,29,KARNATAKA,BENGALURU URBAN,ANUGUL,9621551,981522.002,18477.99799,3695.599597,14782.39839,4193.81449,366.0532486,0,0.311800041,311800.0414
205,29,MAHARASHTRA,PUNE,ANUGUL,2935744,888144.8791,111855.1209,22371.02418,89484.09671,42974.79617,2953.595409,0,2.043774934,2043774.934
206,29,WEST BENGAL,OTHER,ANUGUL,59309688,998648.0286,1351.971368,270.3942735,1081.577094,870.3637085,15.95017664,0,0.236049126,236049.1257
207,29,WEST BENGAL,MEDINIPUR EAST,ANUGUL,5095875,999044.9138,955.0862217,191.0172443,764.0689774,574.5823828,11.77422916,0,0.981185763,981185.763
208,29,ANDHRA PRADESH,EAST GODAVARI,ANUGUL,5154296,994287.4837,5712.516316,1142.503263,4570.013053,1447.918397,41.71277707,0,0.58203875,582038.7498
209,29,KARNATAKA,BALLARI,ANUGUL,2452595,993986.7773,6013.222729,1202.644546,4810.578184,3256.142983,145.9678422,0,0.407731403,407731.4029
210,29,WEST BENGAL,MURSHIDABAD,ANUGUL,7103807,999580.9289,419.0710699,83.81421398,335.2568559,285.3399593,4.926935656,0,0.14076959,140769.5902
211,29,WEST BENGAL,24 PARAGANAS NORTH,ANUGUL,10009781,995001.8887,4998.111347,999.6222695,3998.489078,2579.177307,134.668281,0,0.499511428,499511.4279
212,29,WEST BENGAL,MEDINIPUR WEST,ANUGUL,5913457,999273.1832,726.816818,145.3633636,581.4534544,488.3776106,11.49919582,0,0.169105821,169105.8208
213,29,ANDHRA PRADESH,OTHER,ANUGUL,34078373,995417.0347,4582.965272,916.5930545,3666.372218,2571.924428,58.95234494,0,0.029344124,29344.12391
214,30,OTHER,OTHER,ANUGUL,732071000,995789.6953,4210.304738,842.0609476,3368.243791,2994.097567,77.65093823,0,0.004097963,4097.963176
215,30,TELANGANA,HYDERABAD,ANUGUL,3597816,0,0,0,0,0,0,0,0.277946399,277946.3986
216,30,WEST BENGAL,OTHER,ANUGUL,59309688,998082.2863,1917.713679,383.5427359,1534.170944,1244.771343,20.85662632,0,0.151745867,151745.8665
217,30,WEST BENGAL,KOLKATA,ANUGUL,4631392,975672.9726,24327.02738,4865.405476,19461.62191,14523.27939,966.8799359,0,2.375095868,2375095.868
218,30,WEST BENGAL,MEDINIPUR WEST,ANUGUL,5913457,998961.8594,1038.140634,207.6281268,830.5125073,676.5923892,14.88131223,0,1.014634925,1014634.925
219,30,KARNATAKA,BENGALURU URBAN,ANUGUL,9621551,971440.7791,28559.22086,5711.844171,22847.37669,6680.939487,573.9199428,0,0.103933347,103933.3471
220,30,WEST BENGAL,HOWRAH,ANUGUL,4842000,991292.8542,8707.145808,1741.429162,6965.716646,5842.213961,233.3746386,0,2.684840975,2684840.975
221,30,ANDHRA PRADESH,SRIKAKULAM,ANUGUL,2703114,990601.9502,9398.049805,1879.609961,7518.439844,4317.612946,116.9022098,0,0.739887404,739887.4039
222,30,ANDHRA PRADESH,VISAKHAPATANAM,ANUGUL,1063178,0,0,0,0,0,0,0,7.524610178,7524610.178
223,30,ANDHRA PRADESH,EAST GODAVARI,ANUGUL,5154296,986299.3899,13700.61013,2740.122026,10960.48811,3865.125325,128.048525,0,0.388025833,388025.8332
224,30,TAMIL NADU,CHENNAI,ANUGUL,4328063,852933.9799,147066.0201,29413.20401,117652.8161,121237.6068,2949.356329,0,0.462100482,462100.4824
225,30,ANDHRA PRADESH,OTHER,ANUGUL,34078373,991489.2064,8510.793634,1702.158727,6808.634908,4329.960236,95.19233797,0,0.029344124,29344.12391
226,30,WEST BENGAL,24 PARAGANAS NORTH,ANUGUL,10009781,992469.6654,7530.33458,1506.066916,6024.267664,4210.182021,174.928902,0,0.099902286,99902.28557
227,31,ANDHRA PRADESH,EAST GODAVARI,ANUGUL,5154296,974478.5709,25521.42911,5104.285823,20417.14329,10771.2091,210.1159887,0,0.194012917,194012.9166
228,31,OTHER,OTHER,ANUGUL,732071000,994717.0425,5282.957527,1056.591505,4226.366022,3746.688504,88.48048891,0,0.006829939,6829.938626
229,31,WEST BENGAL,MEDINIPUR EAST,ANUGUL,5095875,997984.0557,2015.944269,403.1888537,1612.755415,1442.539309,18.25005519,0,0.392474305,392474.3052
230,31,WEST BENGAL,OTHER,ANUGUL,59309688,997467.0243,2532.975726,506.5951451,2026.380581,1797.497232,27.75263293,0,0.050581956,50581.95551
231,31,KARNATAKA,BENGALURU URBAN,ANUGUL,9621551,961274.4349,38725.56514,7745.113028,30980.45211,11537.1212,730.859297,0,0.311800041,311800.0414
232,31,WEST BENGAL,MEDINIPUR WEST,ANUGUL,5913457,998658.1453,1341.854688,268.3709377,1073.483751,986.394253,17.41789955,0,0.507317463,507317.4625
233,31,TELANGANA,OTHER,ANUGUL,26240025,983747.6146,16252.38543,3250.477086,13001.90834,11921.40632,134.7940789,0,0.114329159,114329.1594
234,31,WEST BENGAL,KOLKATA,ANUGUL,4631392,968362.4275,31637.57246,6327.514492,25310.05797,20862.19435,1123.204428,0,0.215917806,215917.8061
235,31,ANDHRA PRADESH,VISAKHAPATANAM,ANUGUL,1063178,0,0,0,0,0,0,0,0.940576272,940576.2723
236,31,ANDHRA PRADESH,SRIKAKULAM,ANUGUL,2703114,984224.8607,15775.13934,3155.027868,12620.11147,8655.202851,177.2030332,0,2.959549616,2959549.616
237,32,WEST BENGAL,24 PARAGANAS NORTH,ANUGUL,10009781,986914.4989,13085.50107,2617.100214,10468.40086,8962.134137,302.0046093,0,0.599413713,599413.7134
238,32,WEST BENGAL,HOWRAH,ANUGUL,4842000,986836.6378,13163.36225,2632.672449,10530.6898,9817.017761,336.637753,0,1.858736059,1858736.059
239,32,WEST BENGAL,KOLKATA,ANUGUL,4631392,960898.7967,39101.20327,7820.240653,31280.96261,27365.42275,1335.235713,0,1.727342449,1727342.449
240,32,WEST BENGAL,MEDINIPUR EAST,ANUGUL,5095875,997108.838,2891.161969,578.2323938,2312.929575,1879.559448,22.56727255,0,0.78494861,784948.6104
241,32,WEST BENGAL,OTHER,ANUGUL,59309688,996636.6035,3363.39655,672.67931,2690.71724,2373.693148,35.60969668,0,0.337213037,337213.0368
242,32,ANDHRA PRADESH,VISAKHAPATANAM,ANUGUL,1063178,0,0,0,0,0,0,0,5.643457634,5643457.634
243,32,WEST BENGAL,MEDINIPUR WEST,ANUGUL,5913457,998365.254,1634.74597,326.949194,1307.796776,1272.352196,20.46180432,0,4.0585397,4058539.7
244,32,ANDHRA PRADESH,CHITTOOR,ANUGUL,4174064,975632.6209,24367.37913,4873.475826,19493.9033,13578.3735,241.9704154,0,0.718724006,718724.0061
245,32,OTHER,OTHER,ANUGUL,732071000,993445.7792,6554.220834,1310.844167,5243.376667,4638.278254,101.1117774,0,0.002731975,2731.97545
246,32,TAMIL NADU,THIRUVALLUR,ANUGUL,3728104,970185.6493,29814.35067,5962.870135,23851.48054,22837.88221,505.8871748,0,0.536465721,536465.7209
247,32,ANDHRA PRADESH,EAST GODAVARI,ANUGUL,5154296,962648.4393,37351.56072,7470.312144,29881.24857,20599.32142,276.0803803,0,0.388025833,388025.8332
248,32,ANDHRA PRADESH,GUNTUR,ANUGUL,530577,744687.3875,255312.6125,51062.5225,204250.09,156672.8298,2472.779634,0,1.884740575,1884740.575
249,32,ANDHRA PRADESH,OTHER,ANUGUL,34078373,975990.4618,24009.53825,4801.90765,19207.6306,13688.12414,191.9399145,0,0.234752991,234752.9913
250,32,WEST BENGAL,MURSHIDABAD,ANUGUL,7103807,998886.5125,1113.487458,222.6974916,890.7899666,721.1626104,13.65465025,0,0.563078361,563078.3607
251,33,ANDHRA PRADESH,SRIKAKULAM,ANUGUL,2703114,966594.0837,33405.91629,6681.183258,26724.73303,20691.32119,384.74145,0,4.069380722,4069380.722
252,33,OTHER,OTHER,ANUGUL,732071000,991952.2546,8047.745369,1609.549074,6438.196295,5800.706489,115.2798021,0,0.016391853,16391.8527
253,33,WEST BENGAL,HOWRAH,ANUGUL,4842000,984710.2437,15289.7563,3057.95126,12231.80504,11990.29327,393.4324659,0,0.413052458,413052.4577
254,33,WEST BENGAL,MEDINIPUR WEST,ANUGUL,5913457,997796.382,2203.617951,440.7235903,1762.894361,1535.988171,24.01302656,0,0.338211642,338211.6417
255,33,WEST BENGAL,OTHER,ANUGUL,59309688,1000000,0,0,0,0,0,0,0.151745867,151745.8665
256,33,WEST BENGAL,MEDINIPUR EAST,ANUGUL,5095875,995635.882,4364.118037,872.8236073,3491.294429,2597.198715,35.51892462,0,3.532268747,3532268.747
257,33,WEST BENGAL,MURSHIDABAD,ANUGUL,7103807,998332.8657,1667.134256,333.4268513,1333.707405,1038.034958,21.67851689,0,2.533852623,2533852.623
258,33,KARNATAKA,BENGALURU URBAN,ANUGUL,9621551,940164.0131,59835.98694,11967.19739,47868.78955,34372.83656,979.2599966,0,0.519666736,519666.7356
259,33,TELANGANA,OTHER,ANUGUL,26240025,976965.2277,23034.77226,4606.954452,18427.81781,16765.76147,177.2864165,0,0.114329159,114329.1594
260,33,ANDHRA PRADESH,OTHER,ANUGUL,34078373,967690.7404,32309.2596,6461.85192,25847.40768,21941.74587,266.2392362,0,0.088032372,88032.37173
261,33,ANDHRA PRADESH,VISAKHAPATANAM,ANUGUL,1063178,0,0,0,0,0,0,0,6.584033906,6584033.906
262,33,TELANGANA,HYDERABAD,ANUGUL,3597816,0,0,0,0,0,0,0,0.277946399,277946.3986
263,33,WEST BENGAL,KOLKATA,ANUGUL,4631392,953989.4269,46010.57306,9202.114613,36808.45845,34462.2092,1537.118862,0,0.647753418,647753.4184
264,34,OTHER,OTHER,ANUGUL,732071000,0,0,0,0,0,0,0,0.021855804,21855.8036
265,34,WEST BENGAL,OTHER,ANUGUL,59309688,0,0,0,0,0,0,0,0.151745867,151745.8665
266,34,TAMIL NADU,OTHER,ANUGUL,65979190,0,0,0,0,0,0,0,0.030312588,30312.58795
267,34,WEST BENGAL,KOLKATA,ANUGUL,4631392,0,0,0,0,0,0,0,1.727342449,1727342.449
268,34,WEST BENGAL,24 PARAGANAS NORTH,ANUGUL,10009781,0,0,0,0,0,0,0,0.399609142,399609.1423
269,34,WEST BENGAL,HOWRAH,ANUGUL,4842000,0,0,0,0,0,0,0,0.413052458,413052.4577
270,34,WEST BENGAL,MEDINIPUR EAST,ANUGUL,5095875,0,0,0,0,0,0,0,0.588711458,588711.4578
271,34,ANDHRA PRADESH,OTHER,ANUGUL,34078373,0,0,0,0,0,0,0,0.029344124,29344.12391
272,34,WEST BENGAL,MURSHIDABAD,ANUGUL,7103807,0,0,0,0,0,0,0,0.703847951,703847.9508
273,34,KARNATAKA,BENGALURU URBAN,ANUGUL,9621551,0,0,0,0,0,0,0,0.103933347,103933.3471
274,18,OTHER,OTHER,BALANGIR,732071000,999864.6907,135.3092801,27.06185602,108.2474241,43.10374267,3.245586835,0,0.001365988,1365.987725
275,18,MAHARASHTRA,OTHER,BALANGIR,102131474,999930.6972,69.30282823,13.86056565,55.44226259,12.72869126,3.534659649,0,0.009791301,9791.300966
276,18,MAHARASHTRA,MUMBAI,BALANGIR,12691836,996011.5306,3988.469438,797.6938876,3190.775551,559.7298925,156.320961,0,0.078790807,78790.80694
277,18,TAMIL NADU,TIRUPPUR,BALANGIR,397521,998017.7148,1982.285213,396.4570425,1585.82817,1713.117043,0,0,10.06236149,10062361.49
278,18,TELANGANA,RANGA REDDY,BALANGIR,2446265,0,0,0,0,0,0,0,0.408786456,408786.4561
279,19,ANDHRA PRADESH,SRIKAKULAM,BALANGIR,2703114,999987.052,12.94802957,2.589605914,10.35842366,0,0,0,1.109831106,1109831.106
280,19,MAHARASHTRA,OTHER,BALANGIR,102131474,999859.9746,140.0253951,28.00507902,112.0203161,25.86861715,5.67895456,0,0.078330408,78330.40773
281,19,MAHARASHTRA,PALGHAR,BALANGIR,68931,976918.9479,23081.05207,4616.210413,18464.84165,10314.66249,870.435653,0,14.50726088,14507260.88
282,19,ANDHRA PRADESH,CHITTOOR,BALANGIR,4174064,999851.2241,148.7758693,29.75517385,119.0206954,108.0481756,0,0,0.479149337,479149.3374
283,19,ANDHRA PRADESH,GUNTUR,BALANGIR,530577,995180.7184,4819.28165,963.85633,3855.42532,1941.282792,105.5454722,0,1.884740575,1884740.575
284,19,ANDHRA PRADESH,OTHER,BALANGIR,34078373,999792.7718,207.2282031,41.44564061,165.7825624,84.33501212,4.108177348,0,0.14672062,146720.6196
285,19,OTHER,OTHER,BALANGIR,732071000,999801.6627,198.3373197,39.66746395,158.6698558,76.03634074,4.636162339,0,0.058737472,58737.47219
286,19,KARNATAKA,OTHER,BALANGIR,50268750,999926.4752,73.52480418,14.70496084,58.81984334,35.84732065,2.964068134,0,0.238716897,238716.8967
287,19,MAHARASHTRA,PUNE,BALANGIR,2935744,994762.1455,5237.854527,1047.570905,4190.283621,1565.531599,315.4225982,0,0.340629156,340629.1557
288,19,MAHARASHTRA,RAIGAD,BALANGIR,2634200,999501.5564,498.4435502,99.68871004,398.7548402,111.6088376,7.972059828,50.11009035,1.13886569,1138915.8
289,19,TAMIL NADU,TIRUPPUR,BALANGIR,397521,997992.5589,2007.441116,401.4882233,1605.952893,1964.67608,0,27.67149408,30.18708446,30187112.13
290,19,TELANGANA,HYDERABAD,BALANGIR,3597816,0,0,0,0,0,0,2.779463986,0.555892797,555895.5766
291,19,TELANGANA,RANGA REDDY,BALANGIR,2446265,0,0,0,0,0,0,2.04393228,9.40208849,9402090.534
292,19,ANDHRA PRADESH,VISAKHAPATANAM,BALANGIR,1063178,0,0,0,0,0,0,0,23.51440681,23514406.81
